Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C4",603,4,10uF,C96446
"C10, C6, C9",603,3,0.47uF,C1623
"C11, C12, C15, C16, C19, C20, C21, C22, C23, C24, C25, C28, C3, C5, C7, C8",603,16,0.1uF,C14663
"C13, C14, C26, C27",603,4,27pF,C1647
C17,603,1,4700pF,C53987
F1,805,1,500mA,C516070
"FB1, FB3",603,2,120R,C22787
"FB2, FB4",603,2,0,
FB5,603,1,BLM18PG181SN1D,C82850
FL1,SOIC-4,1,ACT1210L-201-2P-TL00,C131444
J1,SIP-2,1,Conn_01x02,
"J2, J3",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,RJ45_Hanrun_HR911105A,1,8P8C_LED_Shielded,C12074
J6,LCSC_C77238,1,USB_B_Micro,C77238
"R1, R10, R11, R12, R2, R22, R25, R26, R29, R3, R30, R31, R32, R6",603,14,4.7k,C23162
"R13, R14, R27, R28, R33",603,5,33,C23140
"R15, R9",603,2,10k,C25804
"R16, R4, R5, R7, R8",603,5,DNP,
"R17, R18",603,2,100k,C25803
"R19, R20",603,2,1.0k,C21190
"R21, R23",603,2,510,C23193
R24,603,1,2.49k 1%,C108190
RN1,R_Array_Convex_Reversed_4x0603,1,33,C25508
RN2,R_Array_Convex_Reversed_4x0603,1,33R,C25508
U1,SOT-223-3_TabPin2,1,AP1117-33,C115288
U2,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm_ThermalVias,1,TJA1101,C2671511
U3,DIP-40_W15.24mm,1,blue_pill,
U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,SR8201F,C378491
"Y1, Y2",Crystal_SMD_HC49-SD_HandSoldering,2,TXC 9C25000026,C2890202
