Designator,Mid X,Mid Y,Rotation,Layer
C1,238.76,-87.235,90.0,top
C10,202.675,-110.6,0.0,top
C11,203.0,-106.275,90.0,top
C12,199.275,-105.4,180.0,top
C13,180.2,-102.325,270.0,top
C14,180.2,-98.875,90.0,top
C15,185.925,-113.0,0.0,top
C16,185.925,-114.6,180.0,top
C17,170.725,-103.8,0.0,top
C18,221.925,-110.4,0.0,top
C19,227.0,-96.125,270.0,top
C2,230.265,-91.44,0.0,top
C20,228.5,-96.125,270.0,top
C21,221.125,-98.6,0.0,top
C22,215.525,-107.8,180.0,top
C23,221.925,-108.8,0.0,top
C24,221.925,-107.2,0.0,top
C25,228.75,-108.125,270.0,top
C26,222.275,-120.0,180.0,top
C27,225.925,-120.0,0.0,top
C28,228.125,-100.25,0.0,top
C3,198.0,-98.725,90.0,top
C4,208.075,-106.2,180.0,top
C5,197.0,-103.8,0.0,top
C6,197.075,-102.2,0.0,top
C7,208.075,-103.4,180.0,top
C8,207.925,-98.0,0.0,top
C9,202.675,-109.0,0.0,top
F1,242.57,-88.9,0.0,top
FB1,194.925,-105.4,180.0,top
FB2,191.725,-102.2,180.0,top
FB3,208.075,-107.8,0.0,top
FB4,199.8,-109.675,90.0,top
FB5,221.925,-112.0,180.0,top
FL1,190.6,-113.8,0.0,top
J1,171.6,-113.6,270.0,top
J2,206.985,-118.825,90.0,top
J3,206.985,-115.025,90.0,top
J4,229.85,-79.225,90.0,top
J5,241.5225,-102.24,90.0,top
J6,249.42,-85.42,90.0,top
R1,204.0,-91.925,270.0,top
R10,215.525,-106.2,0.0,top
R11,206.125,-110.6,180.0,top
R12,196.4,-97.725,90.0,top
R13,216.125,-104.4,0.0,top
R14,205.2,-106.475,270.0,top
R15,191.0,-98.725,90.0,top
R17,196.6,-109.725,270.0,top
R18,170.725,-105.6,180.0,top
R19,170.675,-119.6,0.0,top
R2,199.925,-90.8,0.0,top
R20,170.725,-107.4,0.0,top
R21,248.525,-92.71,180.0,top
R22,242.0,-92.125,90.0,top
R23,243.125,-111.76,0.0,top
R24,228.75,-111.625,90.0,top
R25,243.075,-113.6,180.0,top
R26,215.525,-109.4,180.0,top
R27,221.075,-97.0,0.0,top
R28,216.725,-96.8,0.0,top
R29,211.6,-106.475,90.0,top
R3,215.2,-101.875,90.0,top
R30,216.6,-92.525,270.0,top
R31,221.0,-90.325,270.0,top
R32,210.4,-96.075,90.0,top
R33,224.125,-91.2,0.0,top
R6,213.6,-102.675,90.0,top
R9,201.2,-93.725,90.0,top
RN1,209.7,-100.8,270.0,top
RN2,221.5,-94.0,270.0,top
U1,229.87,-86.36,0.0,top
U2,202.6,-101.0,90.0,top
U3,192.525,-81.175,90.0,top
U4,223.0,-103.0,270.0,top
Y1,183.8,-100.9375,270.0,top
Y2,223.8625,-116.2,0.0,top
